Id,SalePrice
1461,125888.234375
1462,165479.171875
1463,189384.21875
1464,194816.3125
1465,187284.78125
1466,173294.046875
1467,170798.0
1468,166434.640625
1469,185088.203125
1470,126958.859375
1471,201551.15625
1472,94075.125
1473,95402.4375
1474,150910.359375
1475,128672.796875
1476,384990.28125
1477,253426.265625
1478,282163.90625
1479,265793.6875
1480,497678.78125
1481,328358.53125
1482,207070.625
1483,167254.5625
1484,163965.609375
1485,168757.109375
1486,193539.859375
1487,321501.21875
1488,237410.796875
1489,208056.203125
1490,212775.3125
1491,189365.609375
1492,88110.234375
1493,185144.6875
1494,302937.75
1495,296874.1875
1496,243392.9375
1497,179240.75
1498,163096.625
1499,157738.921875
1500,150358.15625
1501,173724.4375
1502,142367.78125
1503,295946.71875
1504,246210.546875
1505,226914.546875
1506,192902.46875
1507,253138.09375
1508,204075.421875
1509,168589.984375
1510,149814.109375
1511,149339.375
1512,172172.5625
1513,139799.46875
1514,144654.578125
1515,194456.40625
1516,147656.671875
1517,154963.359375
1518,133527.53125
1519,226499.65625
1520,138328.578125
1521,141364.4375
1522,174452.4375
1523,114587.242188
1524,123560.515625
1525,122356.476562
1526,117176.914062
1527,104991.734375
1528,135541.578125
1529,152305.59375
1530,172034.1875
1531,107594.351562
1532,92443.0546875
1533,143203.59375
1534,121052.945312
1535,152895.875
1536,104645.664062
1537,69046.6796875
1538,160217.609375
1539,194992.90625
1540,96509.6171875
1541,146160.671875
1542,135349.890625
1543,217893.234375
1544,78331.21875
1545,109381.726562
1546,125947.195312
1547,130650.0
1548,134257.65625
1549,110343.539062
1550,137399.421875
1551,115062.164062
1552,134930.65625
1553,143487.9375
1554,112067.414062
1555,163328.390625
1556,81382.8671875
1557,112969.09375
1558,90480.2265625
1559,81090.40625
1560,125710.554688
1561,140239.0625
1562,127050.0625
1563,120487.664062
1564,157515.09375
1565,145345.703125
1566,246688.375
1567,76226.5859375
1568,222421.875
1569,135577.78125
1570,139537.859375
1571,123031.273438
1572,149068.3125
1573,250991.921875
1574,106674.820312
1575,222480.640625
1576,228712.578125
1577,197142.828125
1578,142514.078125
1579,143126.59375
1580,194326.078125
1581,148535.015625
1582,130124.757812
1583,335067.375
1584,228879.9375
1585,140957.75
1586,75372.1484375
1587,98668.0546875
1588,153602.5
1589,102896.617188
1590,128493.390625
1591,97958.3984375
1592,115298.109375
1593,126433.148438
1594,130049.203125
1595,108426.234375
1596,241111.765625
1597,185763.359375
1598,208545.46875
1599,182849.875
1600,177950.734375
1601,67062.765625
1602,116581.578125
1603,73483.1953125
1604,274625.8125
1605,252139.65625
1606,169191.25
1607,164360.921875
1608,208601.171875
1609,188723.609375
1610,154924.203125
1611,141982.171875
1612,167286.78125
1613,160284.09375
1614,124286.515625
1615,82687.25
1616,71720.5390625
1617,89260.6328125
1618,125431.046875
1619,140927.109375
1620,154747.59375
1621,140642.0625
1622,143599.640625
1623,275985.3125
1624,207478.421875
1625,122558.046875
1626,168871.09375
1627,192499.453125
1628,282148.84375
1629,181195.75
1630,362192.3125
1631,222879.671875
1632,245534.765625
1633,166242.21875
1634,185396.828125
1635,176517.75
1636,152711.828125
1637,190492.96875
1638,197844.59375
1639,181864.859375
1640,260645.5625
1641,178202.078125
